GO:0039688	GO:0016896	has_part
GO:1901936	GO:1901575	is_a
GO:0045902	GO:0010467	negatively_regulates
GO:0034192	GO:0005975	is_a
GO:0006429	GO:1901360	is_a
GO:0052581	GO:0003674	is_a
GO:0072713	GO:0000000	is_a
GO:1904778	GO:0051641	positively_regulates
GO:1990957	GO:0000000	part_of
GO:0044426	GO:0005575	is_a
GO:0072016	GO:0000000	is_a
GO:0033140	GO:0001933	is_a
GO:1903296	GO:0044070	is_a
GO:1902249	GO:0032555	is_a
GO:1905190	GO:0051129	is_a
GO:0097500	GO:0070727	is_a
GO:0070772	GO:0044422	is_a
GO:1903483	GO:0007016	regulates
GO:0071468	GO:0051716	is_a
GO:0045738	GO:0045934	is_a
GO:0033098	GO:0033097	is_a
GO:0150038	GO:0000000	part_of
GO:1901939	GO:0042214	is_a
GO:0032952	GO:0006109	is_a